Index,Name,Category,Year,Link
142,Norman Angell,Literature,1933,/wiki/Norman_Angell
143,Harold Urey,Physics,1934,/wiki/Harold_Urey
144,George Whipple,Chemistry,1934,/wiki/George_Whipple
145,Luigi Pirandello,Physiologyor Medicine,1934,/wiki/Luigi_Pirandello
146,Arthur Henderson,Literature,1934,/wiki/Arthur_Henderson
147,James Chadwick,Year,1935,/wiki/James_Chadwick
148,Frédéric Joliot-Curie,Physics,1935,/wiki/Frédéric_Joliot-Curie
149,Hans Spemann,Chemistry,1935,/wiki/Hans_Spemann
150,Carl von Ossietzky,Literature,1935,/wiki/Carl_von_Ossietzky
151,Victor Francis Hess,Year,1936,/wiki/Victor_Francis_Hess
152,Peter Debye,Physics,1936,/wiki/Peter_Debye
153,Henry Hallett Dale,Chemistry,1936,/wiki/Henry_Hallett_Dale
154,Eugene O'Neill,Physiologyor Medicine,1936,/wiki/Eugene_O'Neill
155,Carlos Saavedra Lamas,Literature,1936,/wiki/Carlos_Saavedra_Lamas
156,Clinton Davisson,Year,1937,/wiki/Clinton_Davisson
157,Norman Haworth,Physics,1937,/wiki/Norman_Haworth
158,Albert Szent-Györgyi,Chemistry,1937,/wiki/Albert_Szent-Györgyi
159,Roger Martin du Gard,Physiologyor Medicine,1937,/wiki/Roger_Martin_du_Gard
160,"Robert Cecil, 1st Viscount Cecil of Chelwood",Literature,1937,"/wiki/Robert_Cecil,_1st_Viscount_Cecil_of_Chelwood"
161,Enrico Fermi,Year,1938,/wiki/Enrico_Fermi
162,Richard Kuhn,Physics,1938,/wiki/Richard_Kuhn
163,Corneille Heymans,Chemistry,1938,/wiki/Corneille_Heymans
164,Pearl S. Buck,Physiologyor Medicine,1938,/wiki/Pearl_S._Buck
165,Nansen International Office for Refugees,Literature,1938,/wiki/Nansen_International_Office_for_Refugees
166,Ernest Lawrence,Year,1939,/wiki/Ernest_Lawrence
167,Adolf Butenandt,Physics,1939,/wiki/Adolf_Butenandt
168,Gerhard Domagk,Chemistry,1939,/wiki/Gerhard_Domagk
169,Frans Eemil Sillanpää,Physiologyor Medicine,1939,/wiki/Frans_Eemil_Sillanpää
170,Otto Stern,Year,1943,/wiki/Otto_Stern
171,George de Hevesy,Physics,1943,/wiki/George_de_Hevesy
172,Henrik Dam,Chemistry,1943,/wiki/Henrik_Dam
173,Isidor Isaac Rabi,Year,1944,/wiki/Isidor_Isaac_Rabi
174,Otto Hahn,Physics,1944,/wiki/Otto_Hahn
175,Joseph Erlanger,Chemistry,1944,/wiki/Joseph_Erlanger
176,Johannes V. Jensen,Physiologyor Medicine,1944,/wiki/Johannes_V._Jensen
177,International Committee of the Red Cross,Literature,1944,/wiki/International_Committee_of_the_Red_Cross
178,Wolfgang Pauli,Year,1945,/wiki/Wolfgang_Pauli
179,Artturi Ilmari Virtanen,Physics,1945,/wiki/Artturi_Ilmari_Virtanen
180,Alexander Fleming,Chemistry,1945,/wiki/Alexander_Fleming
181,Gabriela Mistral,Physiologyor Medicine,1945,/wiki/Gabriela_Mistral
182,Cordell Hull,Literature,1945,/wiki/Cordell_Hull
183,Percy Williams Bridgman,Year,1946,/wiki/Percy_Williams_Bridgman
184,James B. Sumner,Physics,1946,/wiki/James_B._Sumner
185,Hermann Joseph Muller,Chemistry,1946,/wiki/Hermann_Joseph_Muller
186,Hermann Hesse,Physiologyor Medicine,1946,/wiki/Hermann_Hesse
187,Emily Greene Balch,Literature,1946,/wiki/Emily_Greene_Balch
188,Edward Victor Appleton,Year,1947,/wiki/Edward_Victor_Appleton
189,Robert Robinson,Physics,1947,/wiki/Robert_Robinson_(organic_chemist)
190,Carl Ferdinand Cori,Chemistry,1947,/wiki/Carl_Ferdinand_Cori
191,André Gide,Physiologyor Medicine,1947,/wiki/André_Gide
192,Friends Service Council,Literature,1947,/wiki/Quaker_Peace_and_Social_Witness
193,Patrick Blackett,Year,1948,/wiki/Patrick_Blackett
194,Arne Tiselius,Physics,1948,/wiki/Arne_Tiselius
195,Paul Hermann Müller,Chemistry,1948,/wiki/Paul_Hermann_Müller
196,T. S. Eliot,Physiologyor Medicine,1948,/wiki/T._S._Eliot
197,[c],Literature,1948,#cite_note-B-17
198,Hideki Yukawa,Year,1949,/wiki/Hideki_Yukawa
199,William Giauque,Physics,1949,/wiki/William_Giauque
200,Walter Rudolf Hess,Chemistry,1949,/wiki/Walter_Rudolf_Hess
201,William Faulkner,Physiologyor Medicine,1949,/wiki/William_Faulkner
202,John Boyd Orr,Literature,1949,/wiki/John_Boyd_Orr
203,C. F. Powell,Year,1950,/wiki/C._F._Powell
204,Otto Diels,Physics,1950,/wiki/Otto_Diels
205,Philip Showalter Hench,Chemistry,1950,/wiki/Philip_Showalter_Hench
206,Bertrand Russell,Physiologyor Medicine,1950,/wiki/Bertrand_Russell
207,Ralph Bunche,Literature,1950,/wiki/Ralph_Bunche
208,John Cockcroft,Year,1951,/wiki/John_Cockcroft
209,Edwin McMillan,Physics,1951,/wiki/Edwin_McMillan
210,Max Theiler,Chemistry,1951,/wiki/Max_Theiler
211,Pär Lagerkvist,Physiologyor Medicine,1951,/wiki/Pär_Lagerkvist
212,Léon Jouhaux,Literature,1951,/wiki/Léon_Jouhaux
213,Felix Bloch,Year,1952,/wiki/Felix_Bloch
214,Archer Martin,Physics,1952,/wiki/Archer_Martin
215,Selman Waksman,Chemistry,1952,/wiki/Selman_Waksman
216,François Mauriac,Physiologyor Medicine,1952,/wiki/François_Mauriac
217,Albert Schweitzer,Literature,1952,/wiki/Albert_Schweitzer
